Player,FGDist,FGPct,3PPct,3PAPct,Cluster
Chuma Okeke,16.9,0.417,0.348,0.435,0
Jamal Murray,16.9,0.477,0.408,0.399,0
James Ennis III,13.8,0.473,0.433,0.428,0
Monte Morris,14,0.481,0.381,0.346,0
Markieff Morris,17.6,0.405,0.311,0.553,0
Malik Monk,16.8,0.434,0.401,0.531,0
Dorian Finney-Smith,17.2,0.472,0.394,0.648,0
Malachi Flynn,17.6,0.374,0.321,0.494,0
Donovan Mitchell,16,0.438,0.386,0.423,0
Svi Mykhailiuk,17.6,0.411,0.334,0.621,0
Shake Milton,13.9,0.45,0.35,0.304,0
Khris Middleton,15.7,0.476,0.414,0.34,0
De'Anthony Melton,16.9,0.438,0.412,0.537,0
Wenyen Gabriel,15,0.4,0.406,0.533,0
Jaden McDaniels,16,0.447,0.364,0.54,0
CJ McCollum,17.5,0.458,0.402,0.475,0
Kelan Martin,14.8,0.449,0.4,0.435,0
Caleb Martin,16,0.375,0.248,0.488,0
Rudy Gay,17.1,0.42,0.381,0.443,0
Evan Fournier,17.7,0.457,0.413,0.523,0
Paul George,16.2,0.467,0.411,0.437,0
CJ Elleby,16.4,0.379,0.206,0.515,0
Anthony Edwards,14.2,0.417,0.329,0.429,0
Kelly Olynyk,15.6,0.484,0.342,0.528,0
Victor Oladipo,15.1,0.408,0.326,0.415,0
Torrey Craig,14.4,0.48,0.368,0.467,0
KZ Okpala,14.5,0.375,0.24,0.521,0
Kevin Huerter,17.4,0.432,0.363,0.528,0
Jordan Nwora,16.8,0.459,0.452,0.459,0
Terence Davis,16.6,0.428,0.367,0.586,0
Kendrick Nunn,16.1,0.485,0.381,0.486,0
Carsen Edwards,17.7,0.423,0.286,0.568,0
Jaylen Nowell,15.9,0.424,0.333,0.448,0
Donte DiVincenzo,17.2,0.42,0.379,0.574,0
Luka Dončić,15.6,0.479,0.35,0.406,0
Luguentz Dort,15.4,0.387,0.343,0.515,0
Zeke Nnaji,16.3,0.481,0.407,0.567,0
PJ Dozier,14.5,0.417,0.315,0.42,0
Goran Dragić,15.3,0.432,0.373,0.44,0
Aaron Nesmith,17.1,0.438,0.37,0.607,0
Kevin Durant,14.9,0.537,0.45,0.313,0
Gorgui Dieng,14.6,0.521,0.429,0.429,0
Lauri Markkanen,16.2,0.48,0.402,0.568,0
Théo Maledon,16.8,0.368,0.335,0.51,0
Trey Lyles,14.5,0.478,0.35,0.444,0
Killian Hayes,14.3,0.353,0.278,0.358,0
Mason Jones,17.6,0.423,0.364,0.537,0
Juancho Hernangómez,15.2,0.435,0.327,0.562,0
Tyler Herro,16.5,0.439,0.36,0.425,0
Stanley Johnson,17.1,0.382,0.328,0.588,0
George Hill,14.4,0.482,0.388,0.406,0
DaQuan Jeffries,16.3,0.417,0.299,0.558,0
Nate Hinton,17.6,0.357,0.211,0.452,0
Tyus Jones,14.2,0.431,0.321,0.339,0
Aaron Holiday,14.5,0.39,0.368,0.417,0
Reggie Jackson,16.2,0.45,0.433,0.482,0
Justin Jackson,16.8,0.403,0.308,0.529,0
Rodney Hood,17,0.362,0.301,0.435,0
Al Horford,15.2,0.45,0.368,0.422,0
Frank Jackson,16.4,0.457,0.407,0.512,0
Danuel House Jr.,17,0.404,0.346,0.574,0
Kyrie Irving,14.6,0.506,0.402,0.348,0
Brandon Ingram,15.9,0.466,0.381,0.341,0
LeBron James,13.9,0.513,0.365,0.346,0
Josh Hart,16.1,0.439,0.326,0.561,0
Mfiondu Kabengele,16.1,0.371,0.26,0.562,0
Gary Harris,14.3,0.4,0.34,0.409,0
Brook Lopez,14.2,0.503,0.338,0.439,0
Brandon Goodwin,16.1,0.377,0.311,0.462,0
Eric Gordon,17.1,0.433,0.329,0.572,0
Nassir Little,15.6,0.467,0.35,0.479,0
Jerami Grant,14.6,0.429,0.35,0.353,0
Kawhi Leonard,13.9,0.512,0.398,0.28,0
JaMychal Green,15.5,0.463,0.399,0.529,0
Jeff Green,14.4,0.492,0.412,0.472,0
Zach LaVine,14.9,0.507,0.419,0.425,0
Blake Griffin,15.1,0.423,0.341,0.499,0
Kyle Guy,16.2,0.33,0.283,0.523,0
Jeremy Lamb,16.4,0.435,0.406,0.464,0
Tyrese Haliburton,17.1,0.472,0.409,0.478,0
Josh Hall,13.9,0.303,0.108,0.374,0
Anthony Lamb,16.5,0.39,0.324,0.602,0
Kyle Kuzma,16,0.443,0.361,0.502,0
James Harden,14.5,0.466,0.362,0.455,0
Maurice Harkless,14.8,0.418,0.274,0.509,0
Luke Kornet,16.4,0.436,0.254,0.584,0
Cedi Osman,16.3,0.374,0.306,0.553,0
Quinn Cook,15.5,0.426,0.423,0.382,0
De'Andre Hunter,14.8,0.484,0.326,0.383,0
Mike Conley,17.2,0.444,0.412,0.523,0
Dennis Smith Jr.,15.5,0.4,0.328,0.4,0
OG Anunoby,14.8,0.48,0.398,0.503,0
Andrew Wiggins,14.2,0.477,0.38,0.348,0
Eric Bledsoe,16.5,0.421,0.341,0.486,0
Grant Williams,15.4,0.437,0.372,0.522,0
Ricky Rubio,14.8,0.388,0.308,0.43,0
Trevor Ariza,16.1,0.411,0.35,0.593,0
Bojan Bogdanović,15.4,0.439,0.39,0.498,0
Isaac Bonga,16,0.37,0.277,0.58,0
Devin Booker,14.5,0.484,0.34,0.288,0
Terry Rozier,16.6,0.45,0.389,0.504,0
Lou Williams,14.4,0.41,0.399,0.268,0
Glenn Robinson III,14.2,0.424,0.364,0.444,0
John Wall,14.2,0.404,0.317,0.343,0
Bol Bol,16.1,0.431,0.375,0.414,0
Jayson Tatum,14.6,0.459,0.386,0.368,0
Garrett Temple,16.1,0.415,0.335,0.525,0
Brodric Thomas,17.4,0.361,0.271,0.546,0
Lonnie Walker IV,16.2,0.42,0.355,0.463,0
Nikola Vučević,14.5,0.477,0.4,0.315,0
Desmond Bane,17,0.469,0.432,0.543,0
Devin Vassell,17.5,0.406,0.347,0.495,0
Tremont Waters,16.1,0.405,0.395,0.452,0
Will Barton,14.5,0.426,0.381,0.423,0
Myles Turner,14.3,0.477,0.335,0.477,0
P.J. Tucker,17.2,0.373,0.336,0.672,0
Kent Bazemore,15.3,0.449,0.408,0.469,0
Matisse Thybulle,16.1,0.42,0.301,0.588,0
Sindarius Thornwell,15.4,0.326,0.304,0.5,0
Malik Beasley,16.4,0.44,0.399,0.535,0
Coby White,16.6,0.416,0.359,0.503,0
Deni Avdija,16.6,0.417,0.315,0.538,0
Derrick White,16.9,0.411,0.346,0.536,0
Mikal Bridges,14.3,0.543,0.425,0.471,0
Miles Bridges,14,0.503,0.4,0.466,0
Jarrell Brantley,15.5,0.481,0.429,0.538,0
Malcolm Brogdon,14.3,0.453,0.388,0.382,0
Kristaps Porziņģis,15.1,0.476,0.376,0.378,0
Otto Porter Jr.,16.9,0.432,0.375,0.458,0
Michael Porter Jr.,15.9,0.542,0.445,0.468,0
Kevin Porter Jr.,15.3,0.425,0.311,0.439,0
Alex Caruso,14.8,0.436,0.401,0.449,0
Aleksej Pokusevski,17.5,0.341,0.28,0.507,0
Chris Chiozza,16.4,0.352,0.31,0.477,0
Dylan Windler,16.2,0.438,0.338,0.592,0
Nickeil Alexander-Walker,15.5,0.419,0.347,0.478,0
LaMarcus Aldridge,15.5,0.473,0.388,0.27,0
Trae Young,15.3,0.438,0.343,0.357,0
Jordan Clarkson,17.2,0.425,0.347,0.557,0
Cameron Payne,15.1,0.484,0.44,0.42,0
