Player,FGDist,FGDist_Fitted,FGPct,3PPct,3PAPct,Cluster,Spacing Score,Level,3PEff
Isaiah Hartenstein,5.9,0.211711712,0.626,0.467,0.092134831,1,0,Non-Spacer,Below Average
Willy Hernangómez,4.2,0.135135135,0.52,0.333,0.041573034,1,0,Non-Spacer,Below Average
Dwight Howard,4.5,0.148648649,0.612,0.533,0.076404494,1,0,Non-Spacer,Below Average
Damian Jones,7.4,0.279279279,0.658,0.345,0.12247191,1,0,Non-Spacer,Below Average
Boban Marjanović,7,0.261261261,0.6,0.25,0.064044944,1,0,Non-Spacer,Below Average
Jaxson Hayes,6.6,0.243243243,0.616,0.351,0.160674157,1,0,Non-Spacer,Below Average
Cody Zeller,3.7,0.112612613,0.567,0,0.049438202,1,0,Non-Spacer,Below Average
Alize Johnson,6.2,0.225225225,0.436,0,0.115730337,1,0,Non-Spacer,Below Average
Robin Lopez,6.2,0.225225225,0.553,0.333,0.033707865,1,0,Non-Spacer,Below Average
Kevon Looney,4.6,0.153153153,0.571,0,0.003370787,1,0,Non-Spacer,Below Average
Richaun Holmes,5.5,0.193693694,0.66,0.4,0.019101124,1,0,Non-Spacer,Below Average
Nathan Knight,5.7,0.202702703,0.511,0.308,0.166292135,1,0,Non-Spacer,Below Average
Alex Len,7,0.261261261,0.534,0.286,0.133707865,1,0,Non-Spacer,Below Average
Isaiah Jackson,5,0.171171171,0.563,0.313,0.087640449,1,0,Non-Spacer,Below Average
Jusuf Nurkić,5.9,0.211711712,0.535,0.268,0.104494382,1,0,Non-Spacer,Below Average
Onyeka Okongwu,2.7,0.067567568,0.69,0,0,1,0,Non-Spacer,Below Average
Nerlens Noel,5.9,0.211711712,0.533,0,0.056179775,1,0,Non-Spacer,Below Average
JaVale McGee,4.3,0.13963964,0.629,0.222,0.02247191,1,0,Non-Spacer,Below Average
DeAndre Jordan,1.7,0.022522523,0.643,0,0,1,0,Non-Spacer,Below Average
Kai Jones,7.7,0.292792793,0.643,0.5,0.160674157,1,0,Non-Spacer,Below Average
Ivica Zubac,3.4,0.099099099,0.626,0,0,1,0,Non-Spacer,Below Average
Marquese Chriss,7.8,0.297297297,0.463,0.32,0.21011236,1,0,Non-Spacer,Below Average
Tyler Cook,2.2,0.045045045,0.605,0,0,1,0,Non-Spacer,Below Average
Nic Claxton,2.5,0.058558559,0.674,0,0,1,0,Non-Spacer,Below Average
Brandon Clarke,5.4,0.189189189,0.644,0.227,0.05505618,1,0,Non-Spacer,Below Average
Isaiah Stewart,5.6,0.198198198,0.51,0.326,0.105617978,1,0,Non-Spacer,Below Average
Montrezl Harrell,4.8,0.162162162,0.645,0.235,0.034831461,1,0,Non-Spacer,Below Average
Willie Cauley-Stein,5.3,0.184684685,0.457,0.5,0.064044944,1,0,Non-Spacer,Below Average
Terry Taylor,7.2,0.27027027,0.614,0.316,0.194382022,1,0,Non-Spacer,Below Average
Clint Capela,2.2,0.045045045,0.613,0,0.002247191,1,0,Non-Spacer,Below Average
Tristan Thompson,4.3,0.13963964,0.528,0.333,0.012359551,1,0,Non-Spacer,Below Average
Moses Brown,2.5,0.058558559,0.593,0,0,1,0,Non-Spacer,Below Average
Jarred Vanderbilt,3.1,0.085585586,0.587,0.143,0.043820225,1,0,Non-Spacer,Below Average
Tony Bradley,3.9,0.121621622,0.585,0,0,1,0,Non-Spacer,Below Average
Jericho Sims,2,0.036036036,0.722,0,0,1,0,Non-Spacer,Below Average
Bismack Biyombo,4.3,0.13963964,0.593,0,0,1,0,Non-Spacer,Below Average
DeAndre' Bembry,6.2,0.225225225,0.561,0.417,0.183146067,1,0,Non-Spacer,Below Average
Trendon Watford,8,0.306306306,0.532,0.237,0.159550562,1,0,Non-Spacer,Below Average
Charles Bassey,5.6,0.198198198,0.638,0,0.095505618,1,0,Non-Spacer,Below Average
Hassan Whiteside,3.8,0.117117117,0.652,0,0,1,0,Non-Spacer,Below Average
Deandre Ayton,7,0.261261261,0.634,0.368,0.030337079,1,0,Non-Spacer,Below Average
Robert Williams,2.4,0.054054054,0.736,0,0.003370787,1,0,Non-Spacer,Below Average
Thanasis Antetokounmpo,5.3,0.184684685,0.547,0.143,0.12247191,1,0,Non-Spacer,Below Average
Jarrett Allen,3.8,0.117117117,0.677,0.1,0.020224719,1,0,Non-Spacer,Below Average
Thaddeus Young,7.7,0.292792793,0.518,0.354,0.197752809,1,0,Non-Spacer,Below Average
